arktik	cmevla			      	北冰洋
mitre	gismu   	-tre-		      	在长度上，x_1是x_2米的（公制单位，默认为1），在方向x_3上测量，基于标准x_4	参见 {kilto}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {gutci}, {litce}, {megdo}, {mikri}, {milti}, {minli}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
mixre	gismu   	-mix-   	-xre-	      	x_1（团体）是混合物，具有组分/成分x_2	x_2混合成x_1；x_2在x_1中/是x_1的配方/组分/成分；参见 {salta}, te {runta}, {stasu}, {jicla}, {sanso}.
mlana	gismu   	-mla-		      	x_1在x_2旁边/侧边，面向x_3，在观察点x_4看来/基于参考系x_4	x_4可以是x_2的正面，也可以是背面；参见 {crane}, {trixe}, {pritu}, {zunle}, {korbi}
mlatu	gismu   	-lat-		      	x_1 是种类为 x_2 的猫; x_1 是猫	参见： {cinfo}, {tirxu}, {gerku}.
mleca	gismu   	-mec-   	-me'a-	      	x_1是比x_2少的，在性质/数量x_3（ka/ni）上，少的数量/程度为x_4	也指：负数= {nonme'a}；参见：{me'a}, {su'o}, {jdika}, {zmadu}, {traji}.
mledi	gismu   	-led-		      	x_1是真菌/霉菌/蘑菇/蕈类，属于种类x_2，生长在/寄生在x_3上	参见 {clika}.
mluni	gismu   	-lun-		      	x_1是环绕x_2的卫星，具有特征x_3，环绕参数为x_4	参见 {plini}, {solri}, {lunra}.
mokca	gismu   	-moc-		      	x_1是位于时间/空间区域x_2上的一个点/时刻	x_1是无穷小量；参见 {jipno}, {jganu}, {linji}, {stuzi}, {tcika}.
moklu	gismu   	-mol-   	-mo'u-	      	x_1是x_2的嘴/口/进食口	x_1是关于口的；参见 {ctebi}, {denci}, {tance}.
molki	gismu   	-mlo-		      	x_1是工业工厂/制造厂，执行进程x_2	不需要生产产品，不同于{fanri}；谷物磨粉装置={grumlo}；研磨机={zalmlo}, {zalmlotci}, {zalmloca'a}；参见 {gasta}, {gurni}, {tirse}, {fanri}, {zalvi}.
molro	gismu   	-mo'o-		      	在物质的量上面，x_1是x_2个摩尔单位的（公制单位，默认1），基于标准x_3	参见 {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
morji	gismu   	-moj-   	-mo'i-	      	x_1想起/记起/记得事实/记忆x_2（du'u），关于主题x_3	参见：{ba'anai}, {menli}, {pensi}, {sanji}, {djuno}, {notci}.
morko	gismu   	-mor-		      	x_1是关于摩洛哥的文化/国家/语言等的事物，在x_2方面	参见 {friko}, {xrabo}, {muslo}.
morna	gismu   	-mon-   	-mo'a-	      	x_1是行为/事件x_2的反应/表现，按照计划结构x_3	x_3是x_1的模范/模型/模式= {termontai}/{termonsi'o}； 图像= {gusmo'a}, {nenmo'a}, {dairmo'a}, {selylenmo'a}, {selmirmo'a}, {velmirmo'a}；这里将-mo'a改为-tai时，是表示概念上的；参见 {ciste}, {ganzu}, {marji}, {slilu}, {stura}, {tarmi}, {boxna}, {cimde}, {gidva}, {jimpe}, {rilti}.
mors	cmevla			      	莫尔斯、莫尔斯代码、电报、电码	“莫尔斯”又译“摩斯”，因此又有“摩斯密码”等说法。
morsi	gismu   	-mro-		      	x_1是死亡的/不再存活的	死去/死亡= {mrobi'o}/{co'urji'e}；参见 {jmive}, {catra}, {betri}.
mosra	gismu   	-mos-		      	x_1是x_2与x_3之间的摩擦力；（fe）x_2与x_3摩擦	也指：x_2摩擦x_3 (= {seltermosra}；（非施事的）摩擦= {termosra}；参见 {sakli}, {sraku}, {jabre}, {satre}, {guska}, {pencu}, {spali}.
mraji	gismu			      	x_1是黑麦，属于种类/种族x_2	参见 {gurni}.
mrilu	gismu   	-mri-		      	x_1邮寄x_2给接受者x_3/到地址x_3，从邮局/地址x_4发出，由网络/系统/运输者x_5运送	也指：x_4邮局/邮箱；参见 {benji},{notci}, {xatra}, {tcana}
mruli	gismu   	-mru-		      	x_1（工具）是锤，锤向目标x_2，具有锤头x_3，由x_4推动	参见 {tutci}.
mucti	gismu   	-mut-		      	x_1是非物质的/无形的	参见 {marji}, {menli}, {pruxi}, {sidbo}.
mudri	gismu   	-mud-		      	x_1是木材/木制品，来自树/树种x_2	参见 {tricu}, {stani}.
mukti	gismu   	-muk-   	-mu'i-	      	x_1（行为/事件/状态）是行为/事件x_2的动机，遵循x_3的意志/想法	也指：x_3被鼓动做x_2，被动机x_1鼓动；（注：BAI可能适用于解释行为x_2发生的某种原因）；参见：{mu'i}, {nibli}, te {zukte}, se {jalge}, {krinu}, {rinka}, {ciksi}, {djica}, {xlura})
mulno	gismu   	-mul-   	-mu'o-	      	x_1（事件）是完整的/已经完成的/做完的；x_1变得完整，在性质x_2上，基于标准x_3	也指：完美的/完全的/整体的；参见 {fanmo}, {culno}, {pagbu}, {xadba}, {prane}, {jalge}, {sumji}, {munje}, {sisti}, {xadni}.
mumbais	cmevla			      	孟买
munje	gismu   	-muj-   	-mu'e-	      	x_1是宇宙（一切/所有），具有范围/领域x_2，由规则/定理x_3定义	也指：世界；宇宙是指能够涵盖所有领域的系统；如：论域（在特定论述中使用全部术语的完整集合），鸟类世界，动物世界； x_3 是定义了宇宙的基本规则，借此以区分其它宇宙或非宇宙；参见 {ciste}, {plini}, {kensa}, {mulno}.
mupli	gismu   	-mup-		      	x_1是具有基本属性x_2的样本/例子/范例，属于集合x_3	参见：{mu'u}, {pixra}.
murse	gismu			      	x_1是曙暮光/破晓时分/黄昏，,处于日期x_2，地点x_3	晨影/破晓= {cermurse}；暮光/黄昏= {vacmurse}；参见 {cerni}, {kandi}, {vanci}.
murta	gismu   	-mur-   	-mu'a-	      	x_1是窗帘/幕布/百叶窗，用以遮蔽孔洞x_2，由材料x_3制成	参见 {canko}, {vorme}.
muslo	gismu   	-mus-		      	x_1是关于伊斯兰/穆斯林/古兰经的文化/国家/语言等的事物，在x_2方面	也指：穆斯林；参见 {jegvo}, {lijda}.
mutce	gismu   	-tce-		      	x_1 在属性x_2(ka),趋向x_3方面超出平常; x_1 在x_2上非常x_3.
muvdu	gismu   	-muv-   	-mu'u-	      	x_1（物体）移向目的地/接受者x_2，来自原地x_3，仅有路径/路线x_4	也指：移动/运动（与不动相反的状态）= {comymu'u}；经过了{muvdu}的物体将不再处于原位（除非又回到原地）；（施事的）使……移动= {muvgau}/{muvzu'e}；（非施事的及物的）移动= {muvri'a}；自行推动= {sezmuvgau}；运动对象的一部分={pagmu'u}；有移动的部分={muvypau}/{muvyselpau}；虚表运动/似动运动= {mlumu'u}；参见 {rinci}, {klama}, {litru}, {cliva}, {fatri}; {dunda}, {benji}（施事的运动，但不必要暗示对来源的疏远）, {preja}, {bevri}, {vimcu}
muzga	gismu   	-muz-		      	x_1是博物馆/陈列馆，用以珍藏（可能会展览）x_2，在位置x_3处	参见 {citri}.
nabmi	gismu   	-nam-		      	x_1（事件/状态）是x_2所遭遇的问题/困难/困境，在环境/任务x_3中	也指: x_1是需要x_2考虑的事情；参见 {preti}, {danfu}, {ciksi}, {jijnu}, {jinvi}, {nandu}, {pensi}, {sidbo}, {spuda}, {raktu}.
nakni	gismu   	-nak-		      	x_1是女性的/雌性的/母的生物，属于品种/种类x_2，具有证明其为雌性的特征x_3	参见 {fetsi}, {bersa}.
nalci	gismu   	-na'i-		      	x_1是x_2的翅膀	参见 {cipni}, {pimlu}, {rebla}.
namcu	gismu   	-nac-   	-na'u-	      	x_1（li）是数字/数据/数量；只代表数值，不表示其表征的含义	参见 {lerfu}, {mekso}, {klani}.
nanba	gismu   	-nab-		      	x_1是面包（不论发酵与否），由谷物x_2制成	参见 {gurni}, {panlo}, {toknu}.
nanca	gismu   	-na'a-		      	在持续时间长度上，x_1是x_2个年（默认为1）的，基于标准x_3；x_1是年度的	今年= {cabna'a}；明年= {bavlamna'a}；去年= {prulamna'a}；参见 {detri}, {djedi}, {jeftu}, {masti}.
nandu	gismu   	-nad-		      	x_1是困难的/艰难的/具有挑战性的，对x_2来说，在条件x_3下	参见 {frili}, {nabmi}, {jdari}, {talsa}, {tinsa}.
nanla	gismu			      	x_1是男孩/少年（未成年的男性），年纪为x_2，基于成熟标准x_3	参见 {nixli}, {verba}, {nanmu}, {bersa}.
nanmu	gismu   	-nau-		      	x_1是男性/男人/男性形状的人（不必要是成年人）	参见 {ninmu}, {remna}, {prenu}, {makcu}, {nanla}, {bersa}.
nanvi	gismu   	-nav-		      	x_1是百万分之一/十的负九次方个/份[10^{-9}]的x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
narge	gismu   	-nag-		      	x_1是坚果，属于物种/种类x_2，带有壳x_3，仁x_4	参见 {grute}, {stagi}, {jbari}, {midju}.
narju	gismu   	-naj-		      	x_1是橙色的	参见 {skari}, {blabi}, {xekri}, {kandi}, {carmi}, {xunre}, {pelxu}, {solji}.
natfe	gismu   	-naf-   	-na'e-	      	x_1（du'u）否定/驳斥x_2（du'u），基于规则/逻辑x_3	例外= {nafmupli}；（施事的）否定/驳斥/反对={nafxu'a}/{tolxu'a}；参见 {nibli}, {tugni}, {zanru}, {xusra}.
natmi	gismu   	-nat-   	-nai-	      	x_1是由人民x_2构成的族群/国家（人民共享有历史和文化）	参见 {jecta}, {kulnu}, {lanzu}, {gugde}, {bangu}, {cecmu}.
navni	gismu			      	x_1是惰性气体，具体为x_2（氦/氖/氩/氪/氙）	默认为氖；参见 {xukmi}, {gapci}.
naxle	gismu   	-nax-   	-xle-	      	x_1是管道，通往x_2，来自x_3，通过路径x_4	x_2/x_3可能是无相对顺序的；参见 {pluta}, {rirxe}, {klaji}, {dargu}.
nazbi	gismu   	-naz-   	-zbi-	      	x_1是x_2的鼻（身体部位），带有通孔x_3	也指：关于鼻的；参见 {degji}, {panci}, {sumne}, {tance}.
nederland	cmevla			      	尼德兰	意为“低地”，即常说的“荷兰”。
nejni	gismu   	-nen-		      	x_1是能量，属于类型x_2，具有构成x_3	射线/能量束/光波束= {nenli'i}；参见 {marji}, {tarmi}, {kantu}, {lazni}, {livla}.
nelci	gismu   	-nel-   	-nei-	      	x_1喜欢/喜爱/喜好x_2（物体/状态）	参见 {cinmo}, {djica}, {pluka}, {prami}, {rigni}, {sinma}, {trina}, {xebni}, {cuxna}, {pendo}.
nenri	gismu   	-ner-   	-ne'i-	      	x_1处于x_2内部/里面（完全处于边界之内）	暗示完全包含；参见 se {vasru}不必要完全包含, {jbini}, {zvati}, {cpana}, {sruri}, {senta}, {snuji}, {bartu}, {diklo}, {jibni}, {jinru}, {setca}
nibli	gismu   	-nib-   	-ni'i-	      	x_1是行为/事件/状态x_2的必要条件，基于规则/逻辑系统x_3	参见 {natfe}, {rinka}, {mukti}, {krinu},{ni'i}, {jalge}, {logji}.
nicte	gismu   	-cte-		      	x_1是x_2天的晚上/夜晚，位于地点x_3；x_1是夜间的/夜晚的	今晚={cabycte}；明晚={bavlamcte}（注：有时候今晚尚处于未来，但仍然使用{cabycte}；昨晚={prulamcte}；参见 {donri}, {djedi}, {tcika}.
nikle	gismu   	-nik-		      	x_1是镍/其他抗氧化的/不生锈的金属	参见 {jinme}.
nilce	gismu   	-ni'e-		      	x_1（家具物品，如：柜子，桌子等）供应给x_2（位置），具有用途/功能x_3	参见 {ckana}, {jubme}, {sfofa}, {stizu}, {dacru}.
nimre	gismu			      	x_1是柑橘（植物/果实），属于品种/种类x_2	参见 {grute}, {slari}, {slami}, {xukmi}.
ninmu	gismu   	-nim-   	-ni'u-	      	x_1是女性/女人/女性形状的人（不必要是成年人）	参见 {nanmu}, {remna}, {prenu}, {makcu}, {nixli}.
nipon	cmevla			      	日本	参加：{ponjo}、{pongu'e}
nirna	gismu   	-nir-		      	x_1是x_2的神经（身体部位），带有通孔x_3	x_1是关于神经的/神经系统的；参见 ve {benji}.
nitcu	gismu   	-tcu-		      	x_1需要/依赖x_2（被需要的），为了用途/行为/过程阶段x_3	不暗示缺少；参见 {banzu}, {cidja}, {claxu}, {pindi}, {xebni}, {sarcu}, {lacri}, {djica}, {taske}, {xagji}.
nivji	gismu   	-niv-		      	x_1编织x_2（衣/布），使用原料/线/丝x_3	参见 {cilta}, {fenso}, {jivbu}, {pijne}.
nixli	gismu   	-nix-   	-xli-	      	x_1是女孩（未成年的女性），年纪为x_2，基于成熟标准x_3	参见 {nanla}, {verba}, {ninmu}.
nobli	gismu   	-nol-   	-no'i-	      	x_1是神圣的/高贵的/精华的，处于文化/社会x_2下/基于标准x_2	也指：上层阶级；默认为x_2是社会/文化基础，当是其它基础时（如：自认为高贵），需要指明；参见 {banli}.
noreg	cmevla			      	挪威
norgo	experimental gismu			      	x_1是关于挪威的文化/国家/语言等的事物，在x_2方面	实验性gismu.
notci	gismu   	-not-   	-noi-	      	x_1是消息/通知/信息/备忘录，关于主题x_2，作者为x_3，目标受众/受者为x_4	强调简洁的，单一的或可识别的主题；接受者是弱定义的，只是说明了目标接受者而非实际接受者； {xatra}不具有单一主题而是包含内容；备忘录= {mojnoi}；参见 {xatra}, {nuzba}, {mrilu}, {morji}.
nu,IORK	cmevla			      	纽约
nukni	gismu   	-nuk-		      	x_1是品红色的/紫红色的	参见 {skari}, {blabi}, {xekri}, {kandi}, {carmi}, {xunre}, {zirpu}.
nupre	gismu   	-nup-   	-nu'e-	      	x_1许诺/允诺/威胁/保证x_2（时间/状态）的发生/到来，接受者为x_3	参见 {kajde}, {xusra}.
nurma	gismu   	-num-		      	x_1是农村，位于/属于x_2；x_1是乡村的/农村的	参见 {jarbu}, {rarna}, {tcadu}, {cange}.
nusna	experimental gismu			      	x_1诱导/引导x_2关于x_3，使用特定的事实x_4	参见 {didni}, {nibji'i}, {biglogji}, {krilogji}
nutli	gismu   	-nul-   	-nu'i-	      	x_1是中立的/不偏向任何一方，在冲突/纠纷x_2中	也指：x_2冲突/纷争 （x_2不限定于分歧，它实际上是指具有中间值的标量/分布值的一种表现形式）；参见 {midju}, {lanxe}, {milxe}, {mutce}, {no'e}.
nuzba	gismu   	-nuz-		      	x_1（du'u）是新闻/新资讯，关于主题x_2，来源于x_3，给接收者x_4	参见 {cnino}, {notci}.
nuzlo	experimental gismu			      	x_1是关于新西兰的文化/国家/语言等的事物，在x_2方面	参见 {glico}, {sralo}.
osteraix	cmevla			      	奥地利
otan	cmevla			      	北约	即北大西洋公约组织
OTa,uas	cmevla			      	渥太华
pacna	gismu   	-pa'a-		      	x_1期望/希望/盼望x_2（事件），期望值为x_3（在0-1之间）；x_1希望x_2发生	x_1对x_2抱有希望； x_2被x_1所希望发生；x_3的值是x_1所认为的主观可能值；也可使用不精确的值来表示：{li} {piso'u}' 至 '{li} {piro}' 或者 {sotpa'a}至{sorpa'a}至{sojypa'a}；参见 {djica}.
pagbu	gismu   	-pag-   	-pau-	      	x_1是x_2的部分/组分（整体/团体）；x_2有部分是x_1	部分的= {selpau}；参见 {pa'u}, {mulno}, {xadba}, {spisa}, {gunma}, {rafsi}.
pagre	gismu   	-gre-		      	x_1通过/穿过通道/介质/障碍物x_2，到达目的地一侧x_3，来源处一侧为x_4	两个方向都通过= {rolfargre}或 pagre ... .i so'ivo'ivo'u；参见 {bitmu}, {denci}, {ganlo}, {kalri}, {vorme}, {pluta}, {canko}, {ragve}.
pajni	gismu   	-pai-		      	x_1裁决/裁判/判决问题x_2；x_1是裁判	X2位：若包括jei = 规则{jetpai}，若包括ni = 估值{lairpai}，若包括ka = 估计/估量{kairpai}/{vampai}，若包括nu = 仲裁/裁判{faurpai}；包含了决定/裁决的评价={paijdi}, {jetpaijdi}, {lairpaijdi}, {kairpaijdi}, {vampaijdi}, {faurpaijdi}；陪审团/评判委员会= {pairkamni}；担任评判员/陪审员={kamnypai}作为团体x_1的一部分；参见 {cuxna}, {jdice}, {vajni}, {cipra}, {zekri}, {manri}, {mansa}.
palci	gismu   	-pac-		      	x_1是邪恶的/堕落的/不道德的，基于标准x_2	参见 {zekri}, {vrude}, {xlali}, {marde}, {mabla}.
palku	gismu   	-pak-		      	x_1是裤子，由材料x_2制成	参见 {taxfu}, {pastu}, {skaci}.
palma	experimental gismu			      	x_1是棕榈树，属于品种x_2	参见 {tricnrarekake}, {tricu}, {kokso}, {grasu}, {narge}
palne	gismu			      	x_1是浅一点的容器（如：托盘/盘子等），用以装盛x_2，由材料x_3制成	参见 {tansi}, {patxu}, {palta}, {ckana}.
palpi	experimental gismu			      	x_1用触须触碰/感受x_2（表面结构）	参见 {pencu}, {sefta}, {ganse}
palta	gismu			      	x_1是平浅的食物摆放太（如：盘子/碟子），由材料x_2制成	参见 {ckana}, {palne}, {kabri}, {tansi}, {ckana}.
paludizm	cmevla			      	疟疾
pambe	gismu			      	x_1是水泵/注射器/打气筒（工具/设备），泵压流体x_2进入x_3，来自x_4，使用方式x_5	流体x_2可以气体或液体等；x_5可能指某种力；泵通常会产生压强梯度，如x_3是低压强区，x_4是高压强区；参见 {gapci}, {litki}, {rinci}, {fepri} 可比喻为气泵, {risna}可比喻为液泵, {rinci}, {tutci})
pamga	experimental gismu			      	x_1是木瓜，属于物种/种类x_2	参见 {grute}
panci	gismu   	-pan-		      	x_1是由x_2发出的气味，由探测器/感受者x_3感知到	对观察者来说，未被察觉的气味发射源等价于是无味的；参见 {nazbi}, {sumne}, {cpina}, {vrusi}.
pandi	gismu   	-pad-		      	x_1强调/着重x_2（某表达），使用符号/词x_3，得到语法/语义效果x_4	参见 {lerfu}, {basna}, {denpa}.
panje	gismu			      	x_1是疏松多孔的；x_1是海绵/海绵制品	也比喻为珊瑚，多孔芝士；参见 {cokcu}
panka	gismu			      	x_1是公园，由团体/政府/公司x_2所有/托管/管理，用以目的x_3	参见 {sorcu}, {zdile}, {klaji}, {purdi}.
panlo	gismu   	-pa'o-		      	x_1是一薄片x_2（团体）	参见 {spisa}, {pagbu}, {nanba}.
panpi	gismu   	-pap-		      	x_1与x_2和平相处	参见 {jamna}, {sarxe}, {smaji}, {tugni}, {cilce}, {jamna}
panra	gismu			      	x_1与x_2是平行的，其仅在性质x_3（ka;jo'u/fa'u）上有所不同，基于标准/几何学x_4	x_1平行于x_2；x_1与x_2相同，x_3是两者之间唯一的不同点； x_1近似于x_2 ；平行也包含：（在大量性质上）非常相似，只有少量的不同；参见 {pa'a}, {mintu}, {simsa}, {girzu}, {vrici}.
pante	gismu   	-pat-		      	x_1抗议/反对/抱怨x_2（事件/状态），向接受者x_3表达，采取行动x_4	x_4处应该是事件或tu'a；参见 {xarnu}.
panzi	gismu   	-paz-		      	x_1是亲代x_2的子代婴儿/幼崽/新生儿（生物学上的）	参见 {grute}, {verba}, {bersa}, {tixnu}, se {rorci}, {patfu}.
papri	gismu			      	x_1是大量页面x_2中的一页（物理上的；书页/文件等）	页面（一页纸的一面）= {paprysfe}/{paprysfelai}；充满文字的页面= {papryseltcidu}/{paprytcidylai}；参见 {karni}, {pelji}, {prina}, {xatra}, {vreji}, {pezli}, {cukta}, {ciska}.
parbi	gismu   	-pab-		      	x_1（me'o，分数，小数）是数量x_2比数量x_3的比率/比值 [x_2:x_3]	x_1是比例的/分数的； x_2分子/被除数；x_3分母/除数；参见 {frinu}, {dilcu}, {mekso}.
parji	experimental gismu			      	x_1是x_2的寄生虫/寄生物	参见 {civla}, {cipnrkuku}, {xidnora}
pasifik	cmevla			      	太平洋
pastu	gismu   	-pas-		      	x_1是长袍/斗篷（长而覆盖全身的服饰），由材料x_2制成	套装/连体服= {paspalku}；参见 {kosta}, {taxfu}, {palku}.
patfu	gismu   	-paf-   	-pa'u-	      	x_1是x_2的父亲（不必要是生理学上的父亲）	参见 {mamta}, {rirni}, {rorci}, {tarbi}, {dzena}, {famti}, {panzi}, {bersa}, {sovda}.
