re'a	cmavo			   	VUhU4      	転置行列 ： 数理演算子（単一項）； ある行列の列と行を交換することで生ずる行列； [A*]	・読み方： レハ
re'e	cmavo			   	UI4      	崇拝 （ re'e 崇拝 - re'enai 冒涜）	心態詞（修飾系・カテゴリ）； ・読み方： レヘ  ・関連語： {lijda}
re'enai	cmavo-compound			   	UI*4      	冒涜 （ re'e 崇拝 - re'enai 冒涜）	心態詞（修飾系・カテゴリ）； ・読み方： レヘナイ
rei	cmavo			   	PA2      	16進法E/10進法14 ： 数量詞；	・読み方： レイ  ・関連語： {xei}
re'i	cmavo			   	COI      	受信待機 ：心態詞（呼応系）； 相手の発言を受け取る準備が出来ていることを伝える	・読み方： レヒ
re'inai	cmavo-compound			   	COI*      	：心態詞（呼応系）；	「re'inai／ちょっとまって」 ・読み方： レヒナイ
re'o	cmavo			   	FAhA3      	～と隣接／接触して ： 間制詞（空間・方向）；	・読み方： レホ
re'u	cmavo			   	ROI      	序数テンス ： 左の数量詞を序数にする	「lo ci re'u nuntoi／３度目の挑戦」「za'u re'u tcidu／もう１度読む」「pu cadzu .i cadzu gi'e cadzu .i ro re'u bo ti se klama ba'o／歩いた、歩いて、歩いて、とう／＼こゝまで来た」（山頭火『行乞記（二）』） ・読み方： レフ
ri	cmavo			   	KOhA5      	いましがたの sumti ： 代詞（sumti）； 直前の sumti を指す	・読み方： リ
ri'a	cmavo			   	BAI      	～を原因として／～によって ： rinka 法制詞, x_1	「ri'a lo kamgla cu febvi／熱によって沸騰する」「ri'a zo'e tolmo'i／何かのはずみで忘れる」 ・読み方： リハ
ri'e	cmavo			   	UI5      	心態解放 （ ri'e 心態解放 - ri'enai 心態抑制）	心態詞（修飾系）； 自らの心情や態度を隠さない／抑えない ・読み方： リヘ  ・関連語： {cniri'u}, {cnicru}
ri'enai	cmavo-compound			   	UI*5      	心態抑制 （ ri'e 心態解放 - ri'enai 心態抑制）	心態詞（修飾系）； 自らの心情や態度を隠す／抑える ・読み方： リヘナイ
ri'i	cmavo			   	BAI      	～が経験して／～を被験者として ： lifri 法制詞, x_1	・読み方： リヒ
ri'o	cmavo			   	VUhU4      	積分 ： 数理演算子（3変数）；関数 a の積分、変数 b についての、区間 c にわたる	・読み方： リホ
ri'oi	experimental cmavo			   	LE      	試験的cmavo； さっき述べた・・・； 後続の述語のx_1を満たすような、直近に出てきた語と同じ対象を指示する	・関連語： {ri'oirkai}, {ri}, {ra}, {le}, {bi'unai}
ri'u	cmavo			   	FAhA2      	～の右方に／～の右側で ： 間制詞（空間・方向）；	・読み方： リフ
ro	cmavo   	-rol-		   	PA4      	各／全／一つ一つの ： 数量詞；	「ro da vrici ke kampre mutce／みんなとり／″＼に人間味たつぷりだ」（山頭火『行乞記（二）』） ・大意： 各／全 ・読み方： ロ
ro'a	cmavo			   	UI4      	社交 （ ro'a 社交 - ro'anai 反社会的）	心態詞（修飾系・カテゴリ）； 「be'u ro'a lo zdacau cu me pa litru／ルンペンのひとり旅はさみしいね」（山頭火『行乞記（二）』） ・読み方： ロハ  ・関連語： {jikca}
ro'anai	cmavo-compound			   	UI*4      	反社会的 （ ro'a 社交 - ro'anai 反社会的）	心態詞（修飾系・カテゴリ）； ・読み方： ロハナイ
ro'e	cmavo			   	UI4      	知的／精神的 （ ro'e 知的／精神的 - ro'enai 非精神的）	心態詞（修飾系・カテゴリ）； ・読み方： ロヘ  ・関連語： {menli}
ro'enai	cmavo-compound			   	UI*4      	非精神的 （ ro'e 知的／精神的 - ro'enai 非精神的）	心態詞（修飾系・カテゴリ）； ・読み方： ロヘナイ
roi	cmavo   	-rom-   	-roi-	   	ROI      	回テンス ： 左の数量詞について頻度回数を表す	頻度テンス。「～回にわたって」。数量詞の右に付く。「ci roi citka／3回食べる」「re roi klama／２回行ったことがある」 ・大意： テンス： 頻度 ・読み方： ロイ ・関連語： {rapli}
ro'i	cmavo			   	UI4      	感情 （ ro'i 感情 - ro'inai 無情）	心態詞（修飾系・カテゴリ）； ・読み方： ロヒ  ・関連語： {cinmo}
ro'inai	cmavo-compound			   	UI*4      	無情 （ ro'i 感情 - ro'inai 無情）	心態詞（修飾系・カテゴリ）； ・読み方： ロヒナイ
ro'o	cmavo			   	UI4      	身体的 （ ro'o 身体的 - ro'onai 非身体的）	心態詞（修飾系・カテゴリ）； ・読み方： ロホ  ・関連語： {xadni}
ro'oi	experimental cmavo			   	PA4      	∀（全）を表す複数量化子	``{ro'oi} {da}'' = ``{na} {ku} {su'oi} {da} {na} {ku}.'' cf. {ro} は ∀ を表す単数量化子
ro'onai	cmavo-compound			   	UI*4      	非身体的 （ ro'o 身体的 - ro'onai 非身体的）	心態詞（修飾系・カテゴリ）； ・読み方： ロホナイ
ro'u	cmavo			   	UI4      	性的 （ ro'u 性的 - ro'unai 禁欲的）	心態詞（修飾系・カテゴリ）； ・読み方： ロフ  ・関連語： {cinse}
ro'unai	cmavo-compound			   	UI*4      	禁欲的 （ ro'u 性的 - ro'unai 禁欲的）	心態詞（修飾系・カテゴリ）； ・読み方： ロフナイ
ru	cmavo			   	KOhA5      	ずっと前の sumti ： 代詞（sumti）； その発話において思い出せる限りで最も古い sumti を指す	・読み方： ル
ru'a	cmavo			   	UI2      	前提	心態詞（認識系）； 前提のうえに説く態度 ・読み方： ルハ  ・関連語： {sruma}
ru'e	cmavo			   	CAI      	弱	心態詞； 心情や態度が弱いことを表す ・読み方： ルヘ
ru'i	cmavo			   	TAhE      	継続的に／ずっと ： 相制詞（時間・間隔）；	「nu litru bi'o litru litru ru'i .e'i kei me mi／旅から旅へ旅しつゞける外ない私でありました」（山頭火『行乞記（二）』） ・読み方： ルヒ
ru'inai	cmavo-compound			   	TAhE*      	断続的に／ときたま ： 相制詞（時間・間隔）；	・読み方： ルヒナイ
ru'o	cmavo			   	BY1      	キリル文字変換 ： 字詞をキリル文字に変換する	・読み方： ルホ
ru'u	cmavo			   	FAhA2      	～の周囲に／～を包囲して ： 間制詞（空間・方向）；	・読み方： ルフ
ry	cmavo			   	BY2      	r ： 字詞；	・読み方： ロァ
sa	cmavo			   	SA      	発話部分消去 ： 発話の特定部分を消去する； 右に続く語句がそのまま左側の消去範囲を示す	・読み方： サ
sa'a	cmavo			   	UI3a      	編集挿入	心態詞（談話系）； 発話者や編集者が挿入した語句であることを示す； しばしば to'i と併用する「la frank. cusku lu mi prami do to'i sa'a do du la djein. toi li'u／フランクは「私はあなたを愛している（あなた＝ジェイン）」と言う」 ・読み方： サハ  ・関連語： {setca}
sa'ai	experimental cmavo			   	LOhAI      	直近の文についての誤り訂正引用構造の訂正部を開始する。	{lo'ai} ... sa'ai ... {le'ai} の置換構造を使うことで、聴き手に {lo'ai}の後の語句を sa'ai の後の語句で置き換えるよう要請することができる。sa'ai ... {lo'ai} ... {le'ai} という順序も許容されるほか、片方（もしくは両方とも）を省略することもでき、その場合は文脈によって判断する。両方が省略されているときは、{le'ai} はその詳細は文脈に任せるが、誤りがあったということを明示する。・関連語：{lo'ai}, {le'ai}
sa'e	cmavo			   	UI3      	精確 （ sa'e 精確 - sa'enai 不精確）	心態詞（談話系）；「正確に言うと」「curmi lo nu ti karce muxa sa'e remna／この車の定員はちょうど56名」 ・読み方： サヘ  ・関連語： {satci}, {jibni}
sa'ei	experimental cmavo			   	COI2      	擬音語標識 ：心態詞； cmevla の左に付いてこれを擬音語にする	試験的 cmavo。「sance」からの派生。「lo bakni lo tilju gau bevri .i janbe sa'ei rinrin.／牛は重荷を負はされて鈴はりんりん」（山頭火『行乞記（二）』） ・読み方： サヘイ
sa'enai	cmavo-compound			   	UI*3      	非精確 （ sa'e 精確 - sa'enai 不精確）	心態詞（談話系）；「だいたいの寸法で言うと」「za'a ti karce panono sa'enai remna／この車には100人くらい乗っているようだ」 ・読み方： サヘナイ
sai	cmavo			   	CAI      	強	心態詞； 心情や態度が強いことを表す； ！に相当 ・読み方：サイ
sa'i	cmavo			   	VUhU4      	列（columns） ： 数理演算子（n変数）； 列のベクトルがオペランドとして働く	・読み方： サヒ
sa'o	cmavo			   	VUhU4      	導関数／微分係数 ： 数理演算子（3変数）；関数 a の導関数、変数 b についての、第 c 次の (デフォルトで c=1)	・読み方： サホ
sau	cmavo			   	BAI      	～を必要として／～が必須で ： sarcu 法制詞, x_1	・読み方： サウ
sa'u	cmavo			   	UI3      	簡潔 （ sa'u 簡潔 - sa'unai 厳密）	心態詞（談話系）；「簡潔に言うと」「単に」「sa'u do .ei repi'emuno rupnu mi dunda／簡単に言うと、あなたは私に対して2円50銭の債務がある」（内田百閒『贋作我輩は猫である』より要約） ・読み方： サフ  ・関連語： {sampu}, {pluja}
sa'unai	cmavo-compound			   	UI*3      	厳密 （ sa'u 簡潔 - sa'unai 厳密）	心態詞（談話系）；「厳密に言うと」「sa'unai tu'e do puzuki stidi lo nu mi te vecnu lo mi kosta .i do nupre lo nu do ba pleji lo ve bancu be reno rupnu .i baza la'e di'u mi te vecnu lo kosta fo rerepi'emuno rupnu .i  ku'i ki'u lo nu do na zvati ku repi'emuno rupnu ji'a poi do .ei pleji ke'a ku'o se pleji mi .i se ki'u bo do .ei repi'emuno rupnu mi ki dunda tu'u／詳しく言うと、あなたはずっと前、私に上着を買うように勧め、20円を越える分はあなたが支払ってくれると言った。その後、私は22円50銭の上着を買ったが、あなたがいなかったので、あなたが払うべき2円50銭を私が立て替えた。従って、あなたは私に2円50銭を返さなければならない」（内田百閒『贋作我輩は猫である』より要約） ・読み方： サフナイ
se	cmavo   	-sel-		   	SE      	x_1-x_2 転換 ： selbri の左に付いてPSの x_1 と x_2 を転換する	・大意： x_1-x_2 転換 ・読み方： セ
se'a	cmavo			   	UI5      	自己充足 （ se'a 自己充足 - se'anai 依存）	心態詞（修飾系）； 自分以外のものに頼らずにやっていけるという気持 ・読み方： セハ  ・関連語： {sezysei}, {kantcu}
se'anai	cmavo-compound			   	UI*5      	依存 （ se'a 自己充足 - se'anai 依存）	心態詞（修飾系）； 自分以外のものに頼らずにはやっていけないという気持 ・読み方： セハナイ
sebai	cmavo-compound			   	BAI*      	～を強いて ： bapli 法制詞, x_2 ； 何らかの力によって強いられている者／物／事	・読み方： セバイ
seba'i	cmavo-compound			   	BAI*      	～の代わりに／～に替わって ： basti 法制詞, x_2	・読み方： セバヒ
sebau	cmavo-compound			   	BAI*      	～（話者）の言語として ： bangu 法制詞, x_2	・読み方： セバウ
sebe'i	cmavo-compound			   	BAI*      	～を送受信して ： benji 法制詞, x_2	・読み方： セベヒ
seca'i	cmavo-compound			   	BAI*      	～を管轄して ： catni 法制詞, x_2 ；権力の行使対象、範囲内のもの	・読み方： セシャヒ
secau	cmavo-compound			   	BAI*      	～を欠いて／～無しで ： claxu 法制詞, x_2	・読み方： セシャウ
seci'e	cmavo-compound			   	BAI*      	～が（体系／システム内の）関係構造となって ： ciste 法制詞, x_2	・読み方： セシヘ
seci'o	cmavo-compound			   	BAI*      	～を感じて ： cinmo 法制詞, x_2	・読み方： セシホ
seci'u	cmavo-compound			   	BAI*      	～を計測して ： ckilu 法制詞, x_2	・読み方： セシフ
secu'u	cmavo-compound			   	BAI*      	～を表現して／～と言って ： cusku 法制詞, x_2	・読み方： セシュフ
sede'i	cmavo-compound			   	BAI*      	～（事）の日として ： detri 法制詞, x_2	・読み方： セデヒ
sedi'o	cmavo-compound			   	BAI*      	～を局所として ： diklo 法制詞, x_2	・読み方： セディホ
sedu'i	cmavo-compound			   	BAI*      	～と同等で ： dunli 法制詞, x_2	・読み方： セドゥヒ
sedu'o	cmavo-compound			   	BAI*      	～ということを知って ： djuno 法制詞, x_2	・読み方： セドゥホ
sedu'u	cmavo-compound			   	NU*      	記号抽象 ： 命題の左に付いて、その命題を表す記号を抽出する； x_1 は x_2 （命題）の記号／文字列／表現	・読み方： セドゥフ
se'e	cmavo			   	BY1      	文字コード ： 次に続く数字が表す文字コード（ASCII、Unicode等）	・読み方： セヘ
sefa'e	cmavo-compound			   	BAI*      	～と逆になって ： fatne 法制詞, x_2	・読み方： セファヘ
sefi'e	cmavo-compound			   	BAI*      	～を創って／著して ： finti 法制詞, x_2	・読み方： セフィヘ
sega'a	cmavo-compound			   	BAI*      	～を観察して ： zgana 法制詞, x_2	・読み方： セガハ
segau	cmavo-compound			   	BAI*      	～（行動）をして ： gasnu 法制詞, x_2	・読み方： セガウ
