a	cmavo   \nA      \nlogical connective: sumti afterthought or.
sansrpiripiri	fu'ivla      \ns_1  is a piri piri sauce for use with s_2, containing ingredient(s) including s_3.\nPiri piri sauce (used as a seasoning or marinade) is Portuguese in origin and especially prevalent in Angola, Namibia, Mozambique and South Africa. In Peru, a traditional salsa is piri piri sauce. 
sansrputaneska	fu'ivla      \ns_1  is a sugo alla puttanesca/puttanesca sauce [pasta sauce] for use with pasta s_2 [default: spaghetti], containing ingredient(s) including s_3.\nRecipes may differ; the Neapolitan version is prepared without anchovies, unlike the version popular in Lazio, and chili pepper is sometimes added. Traditionally, the sauce is served with spaghetti
sansrvanila	fu'ivla      \ns_1  is a vanilla sauce for use with s_2, containing ingredient(s) including s_3.
sansrvinegre	fu'ivla      \ns_1 is a vinaigrette sauce for use with s_2, containing ingredient(s) including s_3 (mostly vinegar and oil(s)).
sansrvosterce	fu'ivla      \ns_1 is a Worcester/Worcestershire sauce for use with s_2, containing ingredient(s) including s_3.
sansrxolandese	fu'ivla      \ns_1 is a hollandaise sauce for use with s_2, containing ingredient(s) including s_3.
sansyjukpa	lujvo      \nj_1 is a saucier/making sauce(s) s_1=j_2 by recipe/method j_3 (process).
santa	gismu      \nx_1 is an umbrella/parasol shielding x_2 from x_3, made of material x_4, supported by x_5.\nSee also {carvi}, {solri}.
sa'o	cmavo   \nVUhU4      \ntrinary mathematical operator: [derivative of a with respect to b of degree c].
sa'orgau	lujvo      \ng_1 [person/agent] leans/slants/tilts s_1 away from vertical by angle s_2\nfrom {salpo} {gasnu}. See also {ca'ermuvgau}
sapna'u	lujvo      \nx1 is a scalar in structure/set x2 with properties (potentially including magnitude, etc. in a given metric and coordinate system) x3; x1 is a simple number; x1 is a number that lacks \nIn some interpretations, for example, complex numbers may be scalars; in others (including mekso in a sense), they can be treated as two-component vectors (in which case &quot;direction in the complex plane&quot; and magnitude can be noted in properties x3).
sapselga'e	lujvo      \ns_1=g_2 is evident to g_1 by g_3 evidence.\nmade from {sampu}, {se}, {ganse}
sarcu	gismu   \n-sa'u-      \nx_1 (abstract) is necessary/required for continuing state/process x_2 under conditions x_3.\nAlso factually necessary, necessity, prerequisite, condition, precondition.  See also cmavo list {sau}, {nitcu}.
sardina	fu'ivla      \nx_1 is a sardine of species x_2
sargueia	obsolete fu'ivla      \nx_1 is an opossum of species x_2
sarji	gismu   \n-sra-      \nx_1 supports/holds up/is underpinning of/[helps] x_2 against force/opposition x_3 with/by means x_4.\nAlso aids; (adjective:) x_1 is dependable, reliable (such reliability may be transient; this is not the usual sense of 'reliable' or 'dependable'); (x_2 is object/event).  See also {bradi}, {darlu}, {fapro}, {sidju}, {tugni}, {bongu}, {ckana}, {cpana}, {loldi}, {sanli}, {selfu}.
sarjrkardano	fu'ivla      \ns_1 is a gimbal supporting s_2
sarlami	fu'ivla      \nx_1 is salami (type of sausage) made from x_2\nSee {kolbasa}, {rectu}, {cidja}
sarlu	gismu      \nx_1 is a spiral/helix/whorl/[vortex] [shape/form] with limits x_2, of dimensionality x_3.\nSee also {klupe}, {korcu}, {tarmi}.
sarlyterjai	lujvo      \nx_1 is a tendril used by x_3 to hold x_2 at x_4.\nsee also {sarlyjai}
sarni	experimental gismu      \nx_1 is a three-angled shape/form defined by set of corners/vertices x_2, sides/dimensions x_3\nsee also {cibjgatai}
sarvanju	lujvo      \nv_1=s_1 is vinegar made from v_2.\nCf. {slari}, {vanju}, {vanslami}.
sarvanslami	lujvo      \nx_1 is acetic acid.\nsee also {sarvanju}, {sarvansilna}
sarvanxu'u	lujvo      \nx_1 is acetaldehyde.\nexperimental gismu {xudvu}; see also {sarvanslami}
sarxe	gismu   \n-sax-      \nx_1 is harmonious/concordant/in agreement/concord with x_2 in property x_3 (ka).\nSee also {satci}, {panpi}, {mapti}, {tugni}, {ckini}.
sarxeva	fu'ivla      \nx_1(set) acts unanimously/on the basis of unanimous group consensus in doing x_2 (activity); x_1 are in harmony in doing x_2; x_1 (set) acts in the interest of harmony and smooth functioning in doing x_2; x_1 acts without searching for good or bad members of x_1; x_1 consists of members that have a shared goal of group/non-individual success; x_1 shows cooperative behavior/trust/sharing and the necessary social subordination of members of x_1\nSee also {sarxe}, {lanxe}
saryrutyjisra	lujvo      \nx_1=j_1=s_1 is a quantity of verjuice (sour fruit juice) of composition/from source x_2=j_2\nUsually mildly acidic. x2 probably includes g1. See also: {vanju}, {sarvanju}, {jisra}
sasfoi	lujvo      \nf_1 is a lawn/meadow/field of grass species s_2.
saske	gismu   \n-ske-      \nx_1 (mass of facts) is science of/about subject matter x_2 based on methodology x_3.\nNot limited to science as derived by the scientific method, but pertaining to any body of usually-coherent knowledge garnered/gathered/assembled by a consistent methodology.  See also {datni}, {fatci}, {djuno}, {cipra}, {pensi}, {jimpe}.
saskrcereme	fu'ivla      \nx_1 is cherology/phonology of sign language x_2.\nSee also {xanle'u}, {xanle'ule'u}, {xanbau} and {xancrcereme}.
saskrkuarka	obsolete fu'ivla      \nx_1 is a quark with flavor x_2.
saskrsporte	fu'ivla      \nx_1 (mass of facts) is sport science based on methology x_2.\nCf. {saske}, {esporte}.
sastu'a	lujvo      \nt_1 is a grassland/prairie/steppe in location t_2 with endemic grass species s_2
sasysluni	lujvo      \nx_1 is a  rush leek (Allium schoenoprasum) of variety/strain x_2.
sasysmispa	lujvo      \ns_1 is a sedge (plant in family Cyperaceae) of species/strain/cultivar s_2.\nSedge superficially resembles grasses or rushes.
satci	gismu      \nx_1 [measurement/match] is exact/precise to precision x_2 in property/quantity x_3 (ka/ni).\nSee also {sarxe}, {dunli}, {merli}, {mapti}, {kancu}, {mintu}.
satcygunta	lujvo      \nx_1 is a sniper attacking x_2.
satmatne	lujvo      \nm_1=s_1 is a quantity of/contains toffee/caramel/butterscotch.\nCf. {sakta}, {matne}.
satre	gismu   \n-sa'e-      \nx_1 (agent) strokes/rubs/pets x_2 with x_3.\nPet (= {pamsa'e}).  See also {mosra}, {pencu}.
satrvanila	fu'ivla      \ns_1 is made of/contains/is a quantity of vanilla sugar [mix] of composition s_3.
satyjisra	lujvo      \nx_1 is molasses from source x_2 of composition x_3.
satyviknu	lujvo      \nx_1 is syrup from source x_2
sau	cmavo   \nBAI      \nsarcu modal, 1st place                            requiring ...
sa'u	cmavo   \nUI3      \ndiscursive: simply - elaborating.\nSee also {sampu}, {pluja}.
sau'ei	experimental cmavo   \nCOI      \nvocative: celebratory cheer/hooray
sa'unai	cmavo-compound   \nUI*3      \ndiscursive: simply - elaborating.
saupaulos	cmevla      \nSao Paulo
savdade	fu'ivla      \nx_1 has saudade of x_2 (object, event)\nx1 has a deep emotional state of nostalgic or profound melancholic missing, longing for an absent x_2 that x_1 loves
savru	gismu   \n-sav-   \n-vru-      \nx_1 is a noise/din/clamor [sensory input without useful information] to x_2 via sensory channel x_3.\nSee also {sance}, {cladu}, {kerlo}, {smaji}, {tirna}, {siclu}.
saxfri	lujvo      \nl_1=s_1 is harmonious, happy or blissful with l_2=s_2.
sa'ydar	cmevla      \nSaidar\nSee also:  {sa'ydin}, {sedais}, {makfa}
sa'ydin	cmevla      \nSaidin\nSee also: {sa'ydar}, {sedais}, {altfor}, {acaman}, {makfa}
sazmuvgau	lujvo      \ng_1=s_1 [person/agent] steers/manoeuvres object/vehicle m_1 to destination/receiver m_2 [away] from origin m_3 over path/route m_4 by operating/driving machine/apparatus/vehicle s_2 (default: x2).\ns2 moved to the end for convenience.
sazri	gismu   \n-saz-      \nx_1 operates/drives/runs x_2 [apparatus/machine] with goal/objective/use/end/function x_3.\nSee also {gidva}, {xlura}, {pilno}, {tutci}, {jitro}, {gunka}.
sazycimde	lujvo      \nc_1 is an interface between user s_1 and machine s_2 based on principle c_3.\nCf. {sazri}, {cimde}.
sazysti	lujvo      \nx_1=sa_1=si_1 [agent] ceases/halts/ends the operation of [apparatus/machine] x_2=sa_2 in aspect/function/process/activity x_3=si_2\nSee also {sazri}, {sisti}
se	cmavo   \n-sel-   \nSE      \n2nd conversion; switch 1st/2nd places.
se'a	cmavo   \nUI5      \nattitudinal modifier: self-sufficiency - dependency.\nSee also {sezysei}, {kantcu}.
se'anai	cmavo-compound   \nUI*5      \nattitudinal modifier: self-sufficiency - dependency.
sebai	cmavo-compound   \nBAI*      \nbapli modal, 2nd place (forcing result)           compelling event ...
seba'i	cmavo-compound   \nBAI*      \nbasti modal, 2nd place                            instead of ...
sebau	cmavo-compound   \nBAI*      \nbangu modal, 2nd place (speakers)                 in language of speakers ...
sebe'ei	cmavo-compound   \nBAI      \nbenre modal, 2nd place, which is the beneficiary of...\nSee {benre}.
sebe'i	cmavo-compound   \nBAI*      \nbenji modal, 2nd place (message/cargo)            transmitting ...
seca'i	cmavo-compound   \nBAI*      \ncatni modal, 2nd place                            authoritatively; with authority over ...
secau	cmavo-compound   \nBAI*      \nclaxu modal, 2nd place (lacking)                  without ...
seci'e	cmavo-compound   \nBAI*      \nciste modal, 2nd place                            with system function ...
seci'o	cmavo-compound   \nBAI*      \ncinmo modal, 2nd place (shows attitude)           emotionally; emoting ...
seci'u	cmavo-compound   \nBAI*      \nckilu modal, 2nd place used in scalar negation    on scale measuring ...
secu'u	cmavo-compound   \nBAI*      \ncusku modal, 2nd place (saying)                   expressively; expressing ...
secysna	lujvo      \nx_1 is the sound produced by x_2’s sneezing.\nCf. {senci}, {sance}.
sedais	cmevla      \nSedai (honorific/title/name/rank/organization)\nCan be appended to the end of a name. It is also the second part of the name/word &quot;Aes Sedai&quot;, which is Lojbanized in full as &quot;.aiz. sedais.&quot;. The meaning of &quot;Aes Sedai&quot; and its domain of application varies over the course of the series and over the course of in-universe history; this word can take any such meaning, based on context. See also: {makfa}, {sa'ydar}, {sa'ydin}, {altfor}, {acaman}
sedbo'u	lujvo      \ns_1=b_1 is the skull of body s_2=b_3, performing function b_2.
sede'i	cmavo-compound   \nBAI*      \ndetri modal, 2nd place (for letters)              on the same date as ... ; label with event.
sedgai	lujvo      \ng_1 is a hood (headwear) covering g_2=s_1.\nCf. {taxfu}.
sedgaicreka	lujvo      \nc_1=g_1 is a hoodie of material c_2.\nAn upper-body sweater ({nivycreka}) with a hood ({sedgai}), typiccaly with large frontal pockets and a drawstring to adjust the hood opening. Suggested shortest fu'ivla form: edgrka. Cf. {creka}.
sedgalbo'u	lujvo      \nb_1 is a parietal bone (os parietale) performing function b_2 in body of b_3.
sedi'o	cmavo-compound   \nBAI*      \ndiklo modal, 2nd place                            locally; at specific locus ...
sedjmacurnu	lujvo      \nx_1 is a cephalopod of species x_2.\nsee also {cakcurnu}, {kalmari}, {oxtapodi}
sedmu'utoltu'i	lujvo      \nx_1=t_1=s_2 disagrees by shaking the head with person(s)/position/side x_2=t_2 that x_3=t_3 (du'u) is true about matter x_4=t_4.\nsee also {toltu'i}, {sedmu'utu'i}
sedmu'utu'i	lujvo      \nx_1=t_1=s_2 agrees by nodding with person(s)/position/side x_2=t_2 that x_3=t_3 (du'u) is true about matter x_4=t_4.\nCf. {stedu}, {muvdu}, {tugni}, {tu'ifru}.
sedu'i	cmavo-compound   \nBAI*      \ndunli modal, 2nd place (same as 1st);             equal to ... [same as 1st place modal].
sedu'o	cmavo-compound   \nBAI*      \ndjuno modal, 2nd place                            knowingly; knowing facts ...
sedu'u	cmavo-compound   \nNU*      \ncompound abstractor: sentence/equation abstract; x_1 is text expressing [bridi] which is x_2.
sedycaugau	lujvo      \ng_1 beheads c_1=s_2.\nCf. {stedu}, {claxu}, {gasnu}, {selmi'ecatra}, {nebyka'a}.
sedycro	lujvo      \nx_1 has/feels a headache.
sedykrecau	lujvo      \nc_1=s_2=c_2 is bald.
sedyta'u	lujvo      \nx_1=t_1 is a hat worn by/on the head of x_2=t_2=s_2 for purpose x_3=t_3.\ns_1 is fairly clearly redundant (it's rather obvious whose  head it is).
sedyti'ebo'u	lujvo      \nb_1 is a occipital bone (os occipitale) performing function b_2 in body of b_3.
se'e	cmavo   \nBY1      \nfollowing digits code a character (in ASCII, Unicode, etc.).
sefa'e	cmavo-compound   \nBAI*      \nfatne modal, 2nd place (same as 1st);             backwards; in reversal of ...
sefi'e	cmavo-compound   \nBAI*      \nfinti modal, 2nd place                            creatively; creating work ...
sefsi	experimental gismu      \nx_1 is/are related to itself/himself/herself/themselves by relation x_2\nCompare with {sevzi} and {simxu}. -se'i- proposed as rafsi for &quot;sefsi&quot; since &quot;sevzi&quot; doesn't really need much a final rafsi.
sefta	gismu   \n-sfe-      \nx_1 is surface/face [bounded shape/form] of [higher-dimension] object x_2, on side x_3, edges x_4.\nAlso x_4 bounds.  See also {crane}, {flira}, {plita}, {bliku}.
sefygundi	lujvo      \ng_1 is a/the industry sector of s_1 providing services g_2=s_3 to s_2 by process g_3.\nCf. {selfu}, {gundi}.
sega'a	cmavo-compound   \nBAI*      \nzgana modal, 2nd place                            observing ...
segau	cmavo-compound   \nBAI*      \ngasnu modal, 2nd place actor/agent case complement; actively; as active agent in doing ...
sei	cmavo   \nSEI      \nstart discursive (metalinguistic) bridi.
se'i	cmavo   \nUI5      \nattitudinal modifier: self-oriented - other-oriented.\nSee also {sevzi}, {drata}.
se'i'a'o	experimental cmavo   \nVUhU      \nunary mathematical operator: identity function id(a) =  a\nOutputs whatsoever value is inputted. A trivial function that is actually of some importance. See also: {dubyfancu}.
sei'au	experimental cmavo   \nSEIhAU      \nterbri editor: passes the terbri value through the quoted function so that the sumti that fills it really is filling the output of the function\nTerminated by itself ({sei'au}); explicit termination is always required; the sumti after it must be explicit (even if elliptical, such as with explicit use of {zo'e}). Inside the module formed by the &quot;sei'au&quot; brackets, at most three sumti (where this counting contracts connected sumti into one) can be specified. The first one is a {mau'au}-{zai'ai} quoted function (which is taken to be the operand of this word); it must be preceded (not necessarily immediately) by {li}; let f be this function. The second and third sumti each are a nonnegative integer (preceded by {li}); call them n and m respectively; n defaults to 1 and m defaults to the next (thus-far unfilled) terbri number for/of the current selbri unless these specifications are overridden by zmico; if the relevant selbri has no terbri following this word, then this default value of m causes this word to have no effect. The mth terbri of the selbri to which this construct applies will be passed through f before being filled by any sumti (including {zo'e}, explicit or implicit; terbri numbers start counting at 1 and increase by 1 with each new occurrence) for the next n occurrences of the aforementioned selbri in the discourse (with n = 1 counting the current occurrence; aside: a non-default value of m can thus affect the interpretation of an already-filled terbri of the currently open selbri in an afterthought manner); this counting is only done forward in the discourse/time, including the current selbri, never back through it. Thus, n = 0 effectively neutralizes this word, n being infinite causes the effect to be permanent. f being {zi'a'o} returns the terbri in question to its default value/understanding (according to zmico). It is important to realize that this word does not affect the mth terbri of all selbri, just of the one currently open when this word is utterred (no matter where it is positioned/nested in future costructs). If this word is in conflict with another usage of this word over the same terbri, follow the specification applied by the most recent still active occurrence of this construct; this construct is considered to be active for this purpose until its-n occurrences of the appropriate terbri are uttered; thus if the earlier-n is greater than the later-n, the later effect takes precedent until it is disactivated, after which point the earlier effect resumes. Define n and  m (and f) outside of the module created by brackets of this word if you wish to reuse them; for the sake of future referencing the value specified within the module, n gets reduced/decremented by 1 at each occurrence of the appropriate terbri until it reaches the value 0 (at which value it remains forever after); if n is a series of connected numbers, this decrementation is applied to each connectand in turn. Use {pi'u} (possibly subscripted) in order to simplify utterances. Especially helpful if f is non-injective. The affected terbri must be referenced by {ce'u} as an operand of f wheresoever it is desired; this reference must be explicit.  Let 'broda' be the currentry open selbri; then this word replaces broda_m with f(broda_m) in the definition of 'broda' for the next n occurrences of the terbri. For example, if f were {cu'a}, then any sumti which fills broda_m will be understood to be doing so in absolute value.  See also: {de'ai}.
