a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
sumne	gismu      \nx_1 обоняет/чувствует запах (предмета) x_2; x_2 пахнет/имеет ощутимый запах для наблюдателя x_1\n{nazbi} (нос), {panci} (запах), {cpina} (резкий [острый/раздражающий]), {ganse} (чувствовать [ощущать]), {zgana} (наблюдать)
sumsmi	lujvo      \nx_1 - это элемент (синтаксическая единица)\nПримеры элементов: {na}ku, {bai} ku, {bai} {zo'e}, {ko'a}.
sumtcita	lujvo      \nx_1 - это предлог (sumti-метка), показывающая информацию x2\nСм. {sumti}, {tcita}, {sumsmi}, {gadri}
sumti	gismu   \n-sum-   \n-su'i-      \nx_1 (текст) — это sumti (аргумент, имя существительное/местоимение/имя собственное) от сказуемого-selbri x_2 (текст), заполняющее место/падеж x_3\nСм. {bridi} - 'глагольная фраза', {darlu} - 'отстаивать позицию', {gismu} - 'корневое слово'
sunga	gismu   \n-sug-      \nx_1 — чеснок (головок) вида/сорта x_2\n{stagi} (овощ)
sunla	gismu   \n-sul-      \nx_1 — шерсть (густые вьющиеся волосы) животного/вида/из источника x_2\n{kosta} (пальто), {kumte} (верблюд), {lanme} (овца), {kanba} (коза), {bukpu} (ткань [текстиль]), {kerfa} (волосы)
su'o	cmavo   \n-suz-   \n-su'o-   \nPA4      \nцифра/число: по крайней мере (некоторые); не менее, чем/не меньше, чем/как минимум (далее следует число)
su'oremei	cmavo-compound   \nMOI*      \nколичественная selbri: преобразует &quot;по крайней мере 2&quot; в количественную selbri; x_1 это множество с более чем одним (иными словами, множественное число) членами x_2
su'oremoi	cmavo-compound   \nMOI*      \nколичественная selbri: преобразует &quot;по крайней мере 2&quot; в порядковую selbri; x_1 - это по крайней мере второй среди x_2, упорядочиваемых по правилу x_3
surla	gismu   \n-sur-      \nx_1 отдыхает/делает передышку/проводит досуг, занимаясь деятельностью/находясь в состоянии x_2\nТакже: праздный {dunku} (страдать), {tatpi} (уставший), {cando} (покоиться [бездействовать]), {vreta} (лежать [на чем-либо])
sutra	gismu   \n-sut-      \nx_1 — быстрый/скорый/поспешный в действии/осуществлении x_2 (событие/состояние)\n{masno} (медленный)
su'u	cmavo   \n-suv-   \nNU      \nабстрактор: обощённый абстрактор (как); x_1 - [bridi] как неспецифическая абстракция типа x_2
sy	cmavo   \nBY2      \nбуквенный символ для s
syvetlanas	cmevla      \nСветлана (русское женское имя)
ta	cmavo   \n-taz-   \nKOhA6      \npro-sumti: то там; то недалеко; указательное местоимение: обозначает вещь/место недалеко от говорящего
ta'a	cmavo   \nCOI      \nзвательная частица: прерывание
tabno	gismu   \n-tab-      \nx_1 — углерод/графита/{алмаз}/древесный уголь; x_1 содержит углерод; x_1 — органический\n{kolme} (уголь)
tabra	gismu      \nx_1 — труба/тромбон/горн/валторна/… (медный духовой музыкальный инструмент)\n{zgike} (музыка)
tadji	gismu      \nx_1 — метод/техника/способ осуществления x_2 (событие) в условиях x_3\nТакже: подход; стиль/манера/образ действий: {tratadji}; порядок/план действий: {montadji}, {tadjymo'a}, или {platadji}, {tadjypla} {ciste} (система), {pruce} (процесс), {zukte} (действовать), {pluta} (путь), {tai}
tadni	gismu   \n-tad-      \nx_1 изучает/штудирует/исследует x_2; x_1 — ученый/исследователь\n{ckule} (школа), {cilre} (узнавать), {ctuca} (преподавать)
ta'e	cmavo   \nTAhE      \nмодификатор интервала: по обыкновению/обычно/обыкновенно/привычно; субъективный интервал/модальное слово; по умолчанию как временной интервал
ta'enai	cmavo-compound   \nTAhE*      \nмодификатор интервала: не по обыкновению/необычно; субъективный интервал/модальное слово; по умолчанию как временной интервал
tagji	gismu   \n-tag-      \nx_1 тесно облегает x_2 (объект) в направлении/измерении x_3 на участке x_4; x_1 туго натянут на/обтягивает x_2/x_4\nТакже: в обтяжку; антоним: {kluza} {trati} (натянутый), {jarki} (узкий), {kluza} (облегать [свободно]), {rinju} (удерживаться [от чего-либо])
tai	cmavo   \nBAI      \nмодальный предлог от tamsmi, 1-ое место (подобно/как)/на кого похож      кого напоминает ...; форму кого (идеального объекта) имеет ...\n(x_1 напоминает x_2 разделяя идеальную форму x_3 в аспекте x_4)
